dataset exist
data load successfully!
[INFO]: Loading pre-trained weights
[INFO]: Fine-tuning all layers...
Epoch 1/40
Train loss:1.6883
Val loss:1.9739
Epoch 2/40
Train loss:1.3331
Val loss:1.8083
Epoch 3/40
Train loss:1.1808
Val loss:1.0306
Epoch 4/40
Train loss:1.0740
Val loss:1.0078
Epoch 5/40
Train loss:0.9691
Val loss:1.3745
Epoch 6/40
Train loss:0.9036
Val loss:1.6146
Epoch 7/40
Train loss:0.8526
Val loss:1.0515
Epoch 8/40
Train loss:0.7836
Val loss:1.3757
Epoch 9/40
Train loss:0.7546
Val loss:0.6811
Epoch 10/40
Train loss:0.6603
Val loss:0.8006
Epoch 11/40
Train loss:0.6330
Val loss:1.5151
Epoch 12/40
Train loss:0.6000
Val loss:1.2107
Epoch 13/40
Train loss:0.5892
Val loss:0.9106
Epoch 14/40
Train loss:0.5066
Val loss:0.7441
Epoch 15/40
Train loss:0.4897
Val loss:0.5558
Epoch 16/40
Train loss:0.4757
Val loss:0.4209
Epoch 17/40
Train loss:0.4170
Val loss:0.5378
Epoch 18/40
Train loss:0.3946
Val loss:0.4001
Epoch 19/40
Train loss:0.3912
Val loss:0.6675
Epoch 20/40
Train loss:0.3576
Val loss:0.3740
Epoch 21/40
Train loss:0.3128
Val loss:0.2976
Epoch 22/40
Train loss:0.3155
Val loss:0.2515
Epoch 23/40
Train loss:0.2866
Val loss:0.5393
Epoch 24/40
Train loss:0.2963
Val loss:0.2305
Epoch 25/40
Train loss:0.2572
Val loss:0.2354
Epoch 26/40
Train loss:0.2627
Val loss:0.4485
Epoch 27/40
Train loss:0.2585
Val loss:0.3534
Epoch 28/40
Train loss:0.2166
Val loss:0.1458
Epoch 29/40
Train loss:0.2246
Val loss:0.1520
Epoch 30/40
Train loss:0.2143
Val loss:0.1243
Epoch 31/40
Train loss:0.1851
Val loss:0.1863
Epoch 32/40
Train loss:0.1891
Val loss:0.3655
Epoch 33/40
Train loss:0.1981
Val loss:0.1729
Epoch 34/40
Train loss:0.1830
Val loss:0.1234
Epoch 35/40
Train loss:0.1626
Val loss:0.2624
Epoch 36/40
Train loss:0.1821
Val loss:0.2537
Epoch 37/40
Train loss:0.1629
Val loss:0.2643
Epoch 38/40
Train loss:0.1655
Val loss:0.3100
Epoch 39/40
Train loss:0.1593
Val loss:0.1620
Epoch 40/40
Train loss:0.1447
Val loss:0.1789
Accuracy on the test set: 69.471%
Loss on the test set: 169.26%
